GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000141522.12,3853.636339,-1.045839908,0.114285771,-9.151094659,5.64E-20,1.04E-17
ENSG00000142871.18,966.3750266,-1.119455305,0.142766065,-7.841186236,4.46E-15,3.82E-13
ENSG00000143951.16,92.05802369,-1.151583676,0.31575119,-3.64712379,0.000265192,0.002071463
ENSG00000144481.17,104.508975,-1.226599241,0.311455799,-3.938277102,8.21E-05,0.000785718
ENSG00000144821.10,202.5898274,-1.261493554,0.227802768,-5.537656842,3.07E-08,7.50E-07
ENSG00000144843.11,152.1396206,-1.012384595,0.25102577,-4.032990692,5.51E-05,0.000559093
ENSG00000145107.16,28.45624491,-1.695853348,0.570143942,-2.97443018,0.002935332,0.015022066
ENSG00000145246.14,33.19540954,-1.85112458,0.526638401,-3.514982151,0.000439784,0.003156695
ENSG00000145476.16,256.7118709,-1.058942852,0.213662656,-4.956143825,7.19E-07,1.27E-05
ENSG00000146021.15,180.6484707,-1.213414793,0.243290968,-4.987504484,6.12E-07,1.11E-05
ENSG00000146038.12,291.6249396,-1.223406008,0.20245534,-6.042843846,1.51E-09,4.95E-08
ENSG00000146666.5,133.0157574,-1.48327052,0.278408736,-5.327672328,9.95E-08,2.21E-06
ENSG00000147082.18,85.11997548,-1.834859267,0.341587175,-5.371569554,7.81E-08,1.76E-06
ENSG00000148057.16,75.36981005,-1.220436859,0.378452615,-3.224807576,0.001260574,0.007615631
ENSG00000150961.15,869.1843295,-1.599515799,0.151993669,-10.5235686,6.73E-26,2.29E-23
ENSG00000151012.13,889.3046338,-2.046836162,0.177969647,-11.50104075,1.30E-30,7.87E-28
ENSG00000151176.8,1610.527097,-1.086446799,0.151789701,-7.157579169,8.21E-13,5.10E-11
ENSG00000151320.11,52.89611275,-1.090160517,0.419492799,-2.598758596,0.009356154,0.038028317
ENSG00000151687.14,101.5480155,-1.034485156,0.311445537,-3.321560379,0.000895156,0.005735661
ENSG00000152348.16,299.5593486,-1.026786202,0.193034938,-5.319172858,1.04E-07,2.30E-06
ENSG00000152503.10,31.68110027,-1.291432108,0.518401251,-2.491182469,0.012731871,0.048263352
