GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000110719.10,1056.228887,1.336226953,0.137192862,9.739770244,2.04E-22,4.84E-20
ENSG00000110811.20,229.4538097,1.255949316,0.245081137,5.124626603,2.98E-07,5.90E-06
ENSG00000111424.12,23.64512034,1.809291161,0.620794259,2.914477919,0.00356284,0.017464361
ENSG00000112139.17,260.8258109,1.759043124,0.22091108,7.962674955,1.68E-15,1.60E-13
ENSG00000112655.16,250.1701457,1.415125781,0.222769046,6.352434523,2.12E-10,8.40E-09
ENSG00000113272.14,123.2990928,1.393987932,0.298990924,4.662308523,3.13E-06,4.58E-05
ENSG00000113758.13,3644.531987,1.013799048,0.111296098,9.109025962,8.31E-20,1.49E-17
ENSG00000114646.10,82.8275864,1.823744287,0.340808697,5.351225785,8.74E-08,1.95E-06
ENSG00000114853.15,129.9789928,1.05465019,0.277316591,3.803054799,0.000142923,0.001239628
ENSG00000115107.20,437.1157248,2.524327761,0.184722261,13.66553086,1.63E-42,2.71E-39
ENSG00000115255.12,344.0269296,1.323557175,0.187086939,7.074556804,1.50E-12,8.69E-11
ENSG00000115275.14,1386.749115,1.050159623,0.128758968,8.156011463,3.46E-16,3.62E-14
ENSG00000116983.13,74.46257345,1.324657958,0.365141108,3.627797392,0.000285849,0.002204672
ENSG00000117013.17,221.7602601,1.177698184,0.21752009,5.414204194,6.16E-08,1.43E-06
ENSG00000120075.6,321.1377646,1.17200294,0.195845206,5.984333046,2.17E-09,6.82E-08
ENSG00000120149.9,81.59239195,1.263604817,0.334869352,3.77342629,0.000161021,0.00137593
ENSG00000120708.17,347.0749857,1.300578803,0.183931339,7.071001643,1.54E-12,8.84E-11
ENSG00000122756.15,64.9314735,1.704513929,0.38137639,4.46937455,7.84E-06,0.000102632
ENSG00000123989.14,459.0977357,2.421339458,0.184501721,13.1236687,2.41E-39,2.67E-36
ENSG00000124225.16,395.5733737,1.358962429,0.180377133,7.534006156,4.92E-14,3.73E-12
ENSG00000124380.11,433.2284619,1.343664523,0.182233032,7.373331329,1.66E-13,1.13E-11
ENSG00000124767.7,9304.565184,1.275961175,0.107138758,11.90942662,1.06E-32,7.39E-30
ENSG00000124813.23,96.09379805,1.105288403,0.311392317,3.549504408,0.000385957,0.002833125
ENSG00000125257.16,440.3745727,1.042020374,0.173147302,6.018114975,1.76E-09,5.63E-08
ENSG00000125744.12,222.5873079,1.208680773,0.230752089,5.238005771,1.62E-07,3.38E-06
ENSG00000126259.20,37.04586512,1.536799024,0.510463862,3.010593183,0.002607379,0.013658142
ENSG00000126603.9,66.22630376,1.157850736,0.373309507,3.101583847,0.001924884,0.01065022
ENSG00000126705.15,350.1375567,1.03246027,0.200990197,5.136868778,2.79E-07,5.56E-06
ENSG00000126768.12,1380.620373,1.104066846,0.140099085,7.880614233,3.26E-15,2.88E-13
ENSG00000126878.13,77.62092781,1.5273198,0.358735661,4.257507592,2.07E-05,0.000240791
ENSG00000127124.16,817.3497243,1.224724154,0.148137553,8.267479305,1.37E-16,1.54E-14
ENSG00000127418.15,353.1944652,2.075446032,0.191932955,10.81339072,2.97E-27,1.20E-24
ENSG00000128011.5,247.5210552,1.99157452,0.218926498,9.097000744,9.29E-20,1.62E-17
ENSG00000128228.5,341.2444236,1.09690076,0.218956291,5.009679113,5.45E-07,1.01E-05
ENSG00000128245.15,2159.541734,1.898055414,0.125142919,15.16710193,5.84E-52,1.11E-48
ENSG00000128285.4,100.0507047,1.473373794,0.32446339,4.540955435,5.60E-06,7.61E-05
ENSG00000128602.11,501.481853,1.022279108,0.161336591,6.336312828,2.35E-10,9.16E-09
ENSG00000129757.14,178.1410289,1.429376927,0.240543449,5.942281673,2.81E-09,8.56E-08
ENSG00000129946.10,43.06166324,1.210000602,0.448063838,2.700509387,0.006923338,0.029883934
ENSG00000129951.19,751.4635392,2.031283368,0.151383301,13.4181469,4.73E-41,6.29E-38
ENSG00000130005.13,210.0430567,1.487180595,0.248889169,5.975272457,2.30E-09,7.17E-08
ENSG00000130304.17,268.709186,1.020598139,0.211554094,4.824289237,1.41E-06,2.28E-05
ENSG00000130475.14,57.14541082,2.110400357,0.42780723,4.933063797,8.09E-07,1.41E-05
ENSG00000130511.16,763.715647,1.074304129,0.155782151,6.896195258,5.34E-12,2.87E-10
ENSG00000130635.16,67.69007564,2.705468326,0.424206207,6.377719795,1.80E-10,7.21E-09
ENSG00000130702.15,935.1531584,1.251027442,0.144312614,8.668871057,4.36E-18,5.91E-16
ENSG00000130816.17,5309.522209,1.068879176,0.120534432,8.867832664,7.46E-19,1.14E-16
ENSG00000130821.17,1550.568181,1.125451488,0.124632602,9.030153192,1.71E-19,2.92E-17
ENSG00000130829.18,74.88548526,1.384114588,0.348652337,3.969899069,7.19E-05,0.000700001
ENSG00000131187.10,67.83304543,1.525239653,0.409186102,3.72749623,0.000193391,0.001599032
ENSG00000131188.12,331.7472782,1.96971513,0.219806964,8.961113406,3.21E-19,5.20E-17
ENSG00000131398.15,109.5408619,1.229947155,0.297449179,4.134982524,3.55E-05,0.000380759
ENSG00000131459.13,38.82555897,1.294011994,0.472338835,2.739584169,0.006151696,0.027224657
ENSG00000131650.14,68.83296275,2.318481649,0.391002925,5.929576231,3.04E-09,9.11E-08
ENSG00000131746.13,40.83780044,1.351538611,0.473063661,2.856990979,0.00427678,0.020326185
ENSG00000131981.16,4986.2431,1.041355477,0.117184068,8.886493627,6.31E-19,9.74E-17
ENSG00000132561.14,48.54842921,1.688248414,0.45948283,3.674236124,0.000238562,0.001911808
ENSG00000132563.16,113.9009948,1.013343375,0.302556175,3.349273483,0.000810238,0.005284454
ENSG00000132623.16,117.2036001,1.352036732,0.284332091,4.755132387,1.98E-06,3.08E-05
ENSG00000132819.17,700.5801216,1.59820772,0.156154443,10.23478867,1.38E-24,4.28E-22
ENSG00000132854.19,803.5653136,1.007562634,0.159643376,6.311333789,2.77E-10,1.05E-08
ENSG00000133065.11,920.7691619,1.056863692,0.151854173,6.959727669,3.41E-12,1.88E-10
ENSG00000135414.10,170.6058761,2.185823756,0.254859956,8.576568063,9.77E-18,1.29E-15
ENSG00000135723.14,707.2492265,1.11701692,0.149069919,7.493241589,6.72E-14,4.96E-12
ENSG00000136002.20,242.9392099,1.177535674,0.211987917,5.55473015,2.78E-08,6.90E-07
ENSG00000136159.4,469.3723841,2.116232143,0.175804372,12.0374261,2.26E-33,1.76E-30
ENSG00000136720.7,273.5940903,1.107522806,0.205786865,5.38189259,7.37E-08,1.68E-06
ENSG00000136895.19,50.2663367,1.673606421,0.433487726,3.860793099,0.00011302,0.001018173
ENSG00000137076.21,4431.950818,1.577759598,0.135360402,11.65599076,2.14E-31,1.35E-28
ENSG00000137285.11,511.3715971,1.429406165,0.164421307,8.693557975,3.51E-18,4.86E-16
ENSG00000137825.11,47.75153115,1.575614154,0.439642168,3.583855845,0.000338559,0.002527108
ENSG00000137834.15,88.8794472,1.10231219,0.321763849,3.425842251,0.000612896,0.004182158
ENSG00000137843.12,130.0183641,1.017423513,0.286977168,3.545311702,0.000392149,0.002869062
ENSG00000137868.19,46.73168011,1.4939492,0.447327846,3.339718761,0.000838633,0.005436244
ENSG00000140280.14,69.12886824,1.005007214,0.379455916,2.648548016,0.008083836,0.033841508
ENSG00000140848.17,1025.113664,1.046548818,0.137830717,7.593001328,3.13E-14,2.41E-12
ENSG00000141314.13,26.63478125,1.488421077,0.573353914,2.595990087,0.009431879,0.038259987
ENSG00000141540.11,199.6099289,1.640021042,0.23991347,6.835885621,8.15E-12,4.23E-10
ENSG00000141738.14,87.29863694,1.160086044,0.329479419,3.520966646,0.000429977,0.003098025
ENSG00000141741.12,762.1366564,1.128783888,0.159593287,7.072878235,1.52E-12,8.76E-11
ENSG00000141837.22,252.8832135,1.531805306,0.220401091,6.950080412,3.65E-12,2.00E-10
ENSG00000142173.16,976.9641621,1.321769779,0.136874338,9.656812245,4.60E-22,1.04E-19
ENSG00000142632.17,586.3888032,1.070118626,0.161915684,6.60911035,3.87E-11,1.79E-09
ENSG00000143126.8,191.4449576,1.53996624,0.252806389,6.091484669,1.12E-09,3.77E-08
ENSG00000143147.14,152.8510363,1.127839824,0.256323018,4.400072358,1.08E-05,0.00013581
ENSG00000143324.14,1316.851676,1.34408199,0.135551934,9.915623819,3.56E-23,1.01E-20
ENSG00000143502.16,40.59425202,1.295997028,0.47488477,2.729076841,0.00635119,0.02792631
ENSG00000143845.15,75.90508812,1.048247662,0.348145029,3.010951114,0.002604308,0.013652824
ENSG00000144228.9,632.3102261,1.187314896,0.151688193,7.827338916,4.98E-15,4.24E-13
ENSG00000144711.16,350.0933882,1.441210155,0.212930998,6.768437512,1.30E-11,6.55E-10
ENSG00000146828.18,917.4630021,1.094226446,0.139488204,7.84458052,4.34E-15,3.77E-13
ENSG00000147100.11,114.9784139,1.148744678,0.284051435,4.044143191,5.25E-05,0.000535184
ENSG00000147804.10,449.6778418,1.202624096,0.185722536,6.47538055,9.46E-11,4.03E-09
ENSG00000149328.15,62.9438804,1.237697196,0.374657076,3.303546835,0.0009547,0.006042643
ENSG00000149489.9,30.0665433,1.404067926,0.556125836,2.52473062,0.011578701,0.044852265
ENSG00000149499.12,477.3670479,1.306288774,0.169582608,7.702964287,1.33E-14,1.07E-12
ENSG00000152413.15,370.50377,1.263187802,0.179374002,7.042201133,1.89E-12,1.07E-10
ENSG00000152475.7,54.51956249,1.051179854,0.41079164,2.55891248,0.010500017,0.041595981
ENSG00000152700.14,1033.721483,1.148258232,0.139008212,8.260362595,1.45E-16,1.61E-14
ENSG00000154102.11,31.30223403,1.863550169,0.604979291,3.080353652,0.002067549,0.011298349
ENSG00000154146.13,67.6383802,1.078086783,0.375199345,2.873370641,0.004061174,0.019518032
ENSG00000154358.23,52.03792469,1.586878,0.451165726,3.517284026,0.000435987,0.003132831
ENSG00000155893.13,109.5228306,1.198327767,0.300527247,3.987418039,6.68E-05,0.000658491
ENSG00000156453.14,6880.435878,1.000439343,0.118211485,8.463131504,2.60E-17,3.29E-15
ENSG00000156521.14,1311.490262,1.055076636,0.127418783,8.280385411,1.23E-16,1.39E-14
ENSG00000157851.17,96.78929041,1.120681164,0.310533331,3.608891711,0.000307508,0.00233671
ENSG00000157870.17,734.3337183,1.01874264,0.148677617,6.852024271,7.28E-12,3.84E-10
ENSG00000157890.17,40.09474831,1.227603691,0.474096914,2.589351784,0.009615681,0.038810524
ENSG00000158292.7,195.3213021,1.361045636,0.230260597,5.910892501,3.40E-09,1.01E-07
ENSG00000158748.4,42.30769306,2.157010084,0.493947587,4.366880494,1.26E-05,0.000154534
ENSG00000159263.16,61.72564205,1.035023407,0.374476088,2.763923895,0.005711086,0.02560348
ENSG00000159640.17,278.4406584,1.561094685,0.208566753,7.484868319,7.16E-14,5.25E-12
ENSG00000159753.14,32.08333398,1.651283663,0.530124479,3.11489797,0.001840085,0.01027091
ENSG00000159840.16,3561.190009,1.1572986,0.116918274,9.898355157,4.23E-23,1.17E-20
ENSG00000160746.13,333.708732,1.335191992,0.187573473,7.118234619,1.09E-12,6.61E-11
ENSG00000160752.15,1773.019512,1.010844013,0.137968295,7.326639889,2.36E-13,1.57E-11
ENSG00000160867.15,119.1660485,1.653614325,0.286892578,5.763879774,8.22E-09,2.26E-07
ENSG00000160932.11,1342.277695,1.435142847,0.148622557,9.656292285,4.62E-22,1.04E-19
ENSG00000160963.14,104.987595,1.272398912,0.314990909,4.039478211,5.36E-05,0.000545103
ENSG00000162105.20,42.81960367,1.403182448,0.469105668,2.991186302,0.002778959,0.014375456
ENSG00000162194.12,112.5439223,1.208428098,0.297625463,4.060230883,4.90E-05,0.000503475
ENSG00000162366.8,61.12580788,1.290216306,0.418716025,3.081363571,0.002060549,0.011273832
ENSG00000162426.16,78.3943355,1.03235674,0.342698383,3.012435396,0.002591606,0.013607724
ENSG00000162433.15,932.4081656,1.146390311,0.159193542,7.201236292,5.97E-13,3.76E-11
ENSG00000162614.19,75.38300385,1.011921137,0.346904372,2.917003121,0.003534122,0.017368472
ENSG00000162729.14,187.3127,1.239554541,0.245715974,5.044664055,4.54E-07,8.58E-06
ENSG00000162878.13,93.5051301,1.358106136,0.323644383,4.196291385,2.71E-05,0.000302508
ENSG00000163132.8,133.1294895,1.284974169,0.271861736,4.726572364,2.28E-06,3.49E-05
ENSG00000163686.15,74.9179913,1.020108681,0.349985538,2.914716665,0.003560116,0.017463901
ENSG00000163888.4,47.53569146,1.297571737,0.428591729,3.027523976,0.002465662,0.013070467
ENSG00000163900.11,704.0961657,1.030251437,0.154162551,6.682890428,2.34E-11,1.12E-09
ENSG00000164050.13,79.67510459,1.193082969,0.345602652,3.452181173,0.000556074,0.003851909
ENSG00000164638.11,351.5521569,1.202988189,0.184579733,6.517444625,7.15E-11,3.15E-09
ENSG00000164690.8,183.7820539,1.246772877,0.268492525,4.643603683,3.42E-06,4.97E-05
ENSG00000164823.11,393.7139852,1.173056407,0.175852761,6.670673827,2.55E-11,1.21E-09
ENSG00000164877.19,538.5258158,1.220585082,0.160055936,7.625990717,2.42E-14,1.88E-12
ENSG00000165474.8,49.00699017,1.395834951,0.424073658,3.29149176,0.000996575,0.006251074
ENSG00000165716.11,137.7981003,1.290530745,0.27454,4.700702073,2.59E-06,3.90E-05
ENSG00000165810.17,42.80281299,1.402609534,0.453219697,3.094767381,0.001969673,0.010848316
ENSG00000165821.12,221.0234942,1.140235021,0.218845086,5.210238169,1.89E-07,3.88E-06
ENSG00000166033.13,330.3525714,1.484725257,0.218597178,6.792060492,1.11E-11,5.58E-10
ENSG00000166402.9,226.5845361,1.132382923,0.228826604,4.948650646,7.47E-07,1.31E-05
ENSG00000166582.10,660.0006751,1.35570227,0.168072205,8.066189572,7.25E-16,7.24E-14
ENSG00000166689.16,79.19462478,1.159070763,0.350430067,3.307566542,0.000941104,0.005965114
ENSG00000166831.9,220.2607989,1.922184052,0.235243457,8.171041494,3.06E-16,3.27E-14
ENSG00000166897.16,124.141731,2.098989018,0.29524133,7.109401035,1.17E-12,6.88E-11
ENSG00000167123.19,409.6806116,1.126418581,0.185787843,6.062929439,1.34E-09,4.39E-08
ENSG00000167191.12,18.15562485,2.066475876,0.721490998,2.864174165,0.004180981,0.01997095
ENSG00000167680.17,2079.998149,2.710533538,0.137500118,19.7129542,1.67E-86,1.11E-82
ENSG00000167700.9,180.3337917,1.236512237,0.244695718,5.053264703,4.34E-07,8.26E-06
ENSG00000167702.13,282.7263075,1.105158058,0.199874006,5.529273578,3.22E-08,7.82E-07
ENSG00000167754.13,526.0886795,1.675132856,0.173413658,9.65975156,4.47E-22,1.04E-19
ENSG00000167755.15,2893.232153,1.388926975,0.146509754,9.480098992,2.54E-21,5.44E-19
ENSG00000167767.14,2966.140247,1.195012406,0.121564852,9.830246024,8.34E-23,2.17E-20
ENSG00000167772.12,680.7552644,1.009585957,0.158101674,6.385675311,1.71E-10,6.89E-09
ENSG00000167799.10,79.11447623,1.072942796,0.337904035,3.175288495,0.001496876,0.008742625
ENSG00000167971.16,41.05024891,1.541346879,0.468177402,3.292228273,0.000993969,0.00623957
ENSG00000168056.17,783.5223074,1.841411715,0.148075068,12.43566347,1.67E-35,1.48E-32
ENSG00000168077.14,109.764063,1.218598256,0.294414731,4.13905327,3.49E-05,0.000374975
ENSG00000168101.14,497.941697,1.259669213,0.172339326,7.30923837,2.69E-13,1.77E-11
ENSG00000168389.18,65.68775966,1.324491649,0.369314527,3.586351344,0.000335337,0.002510113
ENSG00000169035.12,449.5704383,1.064164528,0.173082764,6.148298664,7.83E-10,2.70E-08
ENSG00000169129.15,685.9515439,1.837739115,0.151490521,12.13105016,7.23E-34,6.00E-31
ENSG00000169504.15,3583.698197,1.019451506,0.114070504,8.937029907,4.00E-19,6.40E-17
ENSG00000169750.9,193.9708889,1.039880308,0.252679301,4.115415485,3.86E-05,0.000410568
ENSG00000169992.10,1035.005518,1.278218954,0.13691054,9.336161794,9.99E-21,1.98E-18
ENSG00000170412.18,56.44082003,1.533220448,0.417568605,3.671780944,0.000240866,0.001926784
ENSG00000170458.14,51.95264796,1.621274515,0.427575704,3.791783536,0.000149569,0.001291372
ENSG00000170689.10,1240.481618,1.021695252,0.130271944,7.842788083,4.41E-15,3.80E-13
ENSG00000171346.16,559.6684992,1.77283054,0.187652971,9.447388583,3.47E-21,7.21E-19
ENSG00000171401.15,103.5075288,1.8899872,0.322891312,5.853323174,4.82E-09,1.39E-07
ENSG00000171604.12,322.6701879,1.261675076,0.18977394,6.648305207,2.96E-11,1.39E-09
ENSG00000171631.16,192.5665875,1.931896291,0.243408154,7.93685939,2.07E-15,1.91E-13
ENSG00000171864.5,30.82853666,3.08536217,0.635678215,4.853654095,1.21E-06,2.01E-05
ENSG00000173457.11,1385.542916,1.567037981,0.147725542,10.60776597,2.74E-26,1.04E-23
ENSG00000173511.10,413.5236231,1.474004242,0.184780358,7.977061284,1.50E-15,1.43E-13
ENSG00000174684.7,473.0993474,1.182429088,0.176653201,6.693505006,2.18E-11,1.06E-09
ENSG00000174791.11,1089.968054,1.50723154,0.142951026,10.54369164,5.43E-26,1.90E-23
ENSG00000175130.7,3136.04179,1.373741623,0.123021087,11.16671669,5.93E-29,2.81E-26
ENSG00000175463.12,26.67125754,1.863247266,0.648746947,2.872070957,0.004077914,0.019584311
ENSG00000176868.2,1614.346265,1.136054544,0.124808677,9.102368284,8.84E-20,1.56E-17
ENSG00000177679.16,143.9561239,2.376721291,0.281084283,8.455546745,2.78E-17,3.48E-15
ENSG00000177706.9,211.0086059,1.184376472,0.226962139,5.218387872,1.80E-07,3.73E-06
ENSG00000178531.6,589.5614692,2.244835892,0.16926081,13.26258508,3.82E-40,4.61E-37
ENSG00000178773.15,610.1505483,1.311965057,0.159015909,8.250527047,1.58E-16,1.73E-14
ENSG00000178814.17,407.4270954,1.33831945,0.178857648,7.482595615,7.29E-14,5.31E-12
ENSG00000178821.13,45.51699841,1.362502464,0.440312025,3.094402118,0.0019721,0.010852679
ENSG00000179388.9,81.77795883,2.33909021,0.357611589,6.540868036,6.12E-11,2.72E-09
ENSG00000179431.7,245.1962829,1.494514175,0.218890008,6.827694822,8.63E-12,4.46E-10
ENSG00000179588.9,54.72663461,1.120251152,0.400747287,2.795405455,0.005183466,0.023669617
ENSG00000179862.7,196.6027753,1.742793395,0.266063793,6.550283968,5.74E-11,2.58E-09
ENSG00000179967.11,101.2096381,1.477672031,0.311879097,4.737964308,2.16E-06,3.32E-05
ENSG00000180155.20,135.9610866,2.222576944,0.284117157,7.822748073,5.17E-15,4.34E-13
